10.33.68.255;00:18:fe:6c:b8:c5;dark-eth0
10.33.70.255;a0:f3:c1:10:13:21;dark-eth1
10.33.70.255;a0:f3:c1:10:1e:3c;dark-eth2

172.16.17.255;00:0e:0c:4b:44:a0;backup-eth1
172.16.17.255;00:0e:0c:4b:44:a1;backup-eth0

172.16.17.255;e0:cb:4e:1f:91:81;pc1deptinf
172.16.17.255;00:1e:0b:2d:9d:1d;deptinf04-eth0

172.20.254.255;00:18:f3:a9:56:c7;router-asus-eth1

172.20.254.255;00:15:17:57:CA:55;starwars.iescierva.net;starwars-eth0
172.20.254.255;E0:CB:4E:1F:91:81;starwars.iescierva.net;starwars-eth1
172.20.254.255;E0:CB:4E:1F:94:36;starwars.iescierva.net;starwars-eth2

172.20.254.255;00:15:17:e6:42:f1;neptune.iescierva.net;neptune-eth0
172.20.254.255;00:15:17:e6:42:ef;neptune.iescierva.net;neptune-eth1

172.20.254.255;00:25:90:72:2c:46;jupiter.iescierva.net;jupiter-eth0
172.20.254.255;00:25:90:72:2c:47;jupiter.iescierva.net;jupiter-eth0

172.20.254.255;00:25:90:6a:42:18;io.iescierva.net;io-eth0
172.20.254.255;00:25:90:6a:42:19;io.iescierva.net;io-eth1
172.20.254.255;00:25:90:6a:42:1a;io.iescierva.net;io-eth2
172.20.254.255;00:25:90:6a:42:1b;io.iescierva.net;io-eth3
172.20.254.255;00:25:90:74:e1:06;io.iescierva.net;io-eth4
172.20.254.255;00:25:90:74:e1:07;io.iescierva.net;io-eth5

172.20.254.255;00:25:90:6a:3e:84;europe.iescierva.net;europe-eth0
172.20.254.255;00:25:90:6a:3e:85;europe.iescierva.net;europe-eth1
172.20.254.255;00:25:90:6a:3e:86;europe.iescierva.net;europe-eth2
172.20.254.255;00:25:90:6a:3e:87;europe.iescierva.net;europe-eth3
172.20.254.255;00:25:90:74:e0:fa;europe.iescierva.net;europe-eth4
172.20.254.255;00:25:90:74:e0:fb;europe.iescierva.net;europe-eth5

172.20.254.255;00:25:90:6a:43:14;ganymede.iescierva.net;ganymede-eth0
172.20.254.255;00:25:90:6a:43:15;ganymede.iescierva.net;ganymede-eth1
172.20.254.255;00:25:90:6a:43:16;ganymede.iescierva.net;ganymede-eth2
172.20.254.255;00:25:90:6a:43:17;ganymede.iescierva.net;ganymede-eth3
172.20.254.255;00:25:90:74:e1:1a;ganymede.iescierva.net;ganymede-eth4
172.20.254.255;00:25:90:74:e1:1b;ganymede.iescierva.net;ganymede-eth5

172.20.254.255;00:25:90:6a:3f:80;callisto.iescierva.net;callisto-eth0
172.20.254.255;00:25:90:6a:3f:81;callisto.iescierva.net;callisto-eth1
172.20.254.255;00:25:90:6a:3f:82;callisto.iescierva.net;callisto-eth2
172.20.254.255;00:25:90:6a:3f:83;callisto.iescierva.net;callisto-eth3
172.20.254.255;00:25:90:74:e0:e2;callisto.iescierva.net;callisto-eth4
172.20.254.255;00:25:90:74:e0:e3;callisto.iescierva.net;callisto-eth5

172.20.254.255;d4:ae:52:7d:13:6b;saturno.iescierva.net;saturno-eth0
172.20.254.255;d4:ae:52:7d:13:6c;saturno.iescierva.net;saturno-eth1

#C11
172.16.11.255;00:1e:0b:2e:62:f3;c11x13.iescierva.net.;c11x13.iescierva.net
172.16.11.255;00:1e:0b:2d:eb:eb;c11x14.iescierva.net.;c11x14.iescierva.net
172.16.11.255;00:1e:0b:2e:5d:0b;c11x15.iescierva.net.;c11x15.iescierva.net
172.16.11.255;00:1e:0b:2f:0f:a3;c11x16.iescierva.net.;c11x16.iescierva.net
172.16.11.255;00:1e:0b:2d:76:ff;c11x17.iescierva.net.;c11x17.iescierva.net
172.16.11.255;00:1e:0b:2d:75:71;c11x18.iescierva.net.;c11x18.iescierva.net
172.16.11.255;00:1e:0b:2d:71:fb;c11x19.iescierva.net.;c11x19.iescierva.net
172.16.11.255;00:1e:0b:2d:ed:43;c11x20.iescierva.net.;c11x20.iescierva.net
172.16.11.255;00:1e:0b:2d:77:47;c11x21.iescierva.net.;c11x21.iescierva.net
172.16.11.255;00:1e:0b:2e:63:07;c11x22.iescierva.net.;c11x22.iescierva.net
172.16.11.255;48:5d:60:9c:e1:9f;c11x183.iescierva.net.;pelegrin.c11.local
172.16.11.255;00:1b:38:4c:54:10;c11x188.iescierva.net.;jclaptop.c11.iescierva.net
172.16.11.255;00:1c:c4:99:92:5b;c11x23.iescierva.net.;c11x23.iescierva.net
172.16.11.255;00:1e:0b:2e:9d:d5;c11x24.iescierva.net.;c11x24.iescierva.net
172.16.11.255;00:17:3f:78:d2:28;c11x31.iescierva.net.;c11x01w.iescierva.net
172.16.11.255;00:17:3f:78:d1:ab;c11x32.iescierva.net.;c11x02w.iescierva.net
